ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Courier_ID
5049,A,Road,5,1,260,2,low,M,4,5580,0,Courier_5
5050,B,Road,4,1,259,3,medium,M,5,4435,1,Courier_2
5051,C,Road,4,3,192,3,low,F,10,4068,0,Courier_4
5052,F,Road,3,1,149,3,medium,M,5,4805,1,Courier_5
5053,D,Road,4,1,133,2,medium,M,1,5274,1,Courier_4
5054,F,Road,4,4,145,3,medium,F,3,5424,1,Courier_2
5055,A,Road,3,4,186,3,high,M,1,5922,1,Courier_5
5056,B,Road,5,3,267,3,medium,F,8,5786,1,Courier_2
5057,C,Road,3,3,157,4,medium,F,2,5684,0,Courier_1
5058,F,Road,4,2,174,3,low,F,3,5920,0,Courier_2
5059,D,Road,4,4,216,2,low,F,4,5984,0,Courier_4
5060,F,Road,4,3,143,3,low,F,2,4693,0,Courier_3
5061,A,Road,5,1,135,3,low,M,3,4939,1,Courier_2
5062,B,Road,4,2,222,3,low,M,4,5919,0,Courier_3
5063,C,Road,6,2,140,2,high,M,1,4053,0,Courier_1
5064,F,Road,4,2,209,2,medium,F,9,5131,0,Courier_5
5065,D,Flight,3,5,162,2,low,M,4,4495,0,Courier_5
5066,F,Flight,5,2,152,4,medium,M,6,5596,0,Courier_3
5067,A,Flight,4,2,236,3,medium,M,9,4725,0,Courier_5
5068,B,Flight,4,5,192,4,low,F,10,4691,0,Courier_2
5069,C,Flight,5,2,233,3,high,F,4,4140,0,Courier_3
5070,F,Flight,3,5,156,3,medium,F,2,4190,1,Courier_4
5071,D,Flight,5,1,257,3,medium,M,7,4133,0,Courier_2
5072,F,Flight,4,5,228,4,low,M,4,4750,0,Courier_2
5073,A,Flight,5,1,262,2,high,M,9,5008,0,Courier_2
5074,B,Flight,3,1,203,2,low,M,2,4647,1,Courier_4
5075,C,Flight,4,5,217,4,medium,F,3,5966,0,Courier_1
5076,F,Flight,3,1,197,5,medium,F,6,5919,0,Courier_5
5077,D,Flight,3,5,217,3,low,M,9,4306,0,Courier_3
5078,F,Flight,3,2,200,4,medium,F,4,4918,0,Courier_1
5079,A,Flight,4,3,181,3,medium,M,10,4541,1,Courier_3
5080,B,Flight,4,1,212,3,low,M,2,4353,1,Courier_5
5081,C,Flight,5,3,217,2,low,F,4,5588,0,Courier_4
5082,F,Flight,5,4,240,4,medium,F,2,5215,0,Courier_2
5083,D,Flight,3,1,161,3,low,M,9,4865,1,Courier_2
5084,F,Flight,3,4,157,3,medium,F,6,5611,0,Courier_4
5085,A,Flight,4,5,133,3,medium,M,4,5180,1,Courier_1
5086,B,Flight,4,3,138,3,low,F,2,5593,0,Courier_1
5087,C,Ship,4,3,158,3,high,M,1,5089,1,Courier_3
5088,F,Ship,5,2,243,3,high,M,2,5734,1,Courier_4
5089,D,Ship,3,2,189,3,medium,M,2,4718,0,Courier_1
5090,F,Ship,2,4,272,2,medium,M,4,4632,0,Courier_4
5091,A,Ship,4,4,168,3,low,M,6,5488,1,Courier_5
5092,B,Ship,4,4,157,3,medium,F,10,5041,1,Courier_2
5093,C,Ship,3,5,217,2,medium,F,6,5182,0,Courier_2
5094,F,Ship,5,3,237,4,low,F,8,5432,0,Courier_2
5095,D,Ship,4,3,133,2,low,M,9,4145,0,Courier_4
5096,F,Ship,3,4,243,2,medium,M,1,5840,1,Courier_4
5097,A,Ship,5,3,273,4,medium,M,2,4186,1,Courier_3
5098,B,Ship,5,4,202,5,low,F,6,5230,1,Courier_2
5099,C,Ship,5,5,240,2,low,F,7,4409,1,Courier_3
5100,F,Ship,3,5,275,3,low,M,6,5148,0,Courier_2
5101,D,Ship,3,5,274,3,medium,M,5,4710,1,Courier_3
5102,F,Ship,4,3,272,3,low,F,4,5654,0,Courier_3
5103,A,Ship,2,4,126,5,medium,M,2,5461,0,Courier_5
5104,B,Ship,5,3,215,2,medium,F,10,5194,1,Courier_3
5105,C,Ship,2,5,175,5,low,F,8,4269,0,Courier_4
5106,F,Ship,4,3,149,6,medium,M,5,5456,1,Courier_3
5107,D,Ship,6,1,145,3,medium,F,1,4346,1,Courier_2
5108,F,Ship,6,1,257,4,medium,F,3,5656,1,Courier_3
5109,A,Ship,4,3,136,3,medium,M,10,4299,1,Courier_1
5110,B,Ship,5,3,163,6,low,M,6,4349,0,Courier_2
5111,C,Ship,3,4,256,3,low,M,7,5013,1,Courier_1
5112,F,Ship,3,3,141,3,low,F,7,4954,1,Courier_2
5113,D,Ship,4,3,196,2,medium,F,4,4203,1,Courier_4
5114,F,Ship,5,4,154,2,low,F,5,5528,0,Courier_4
5115,A,Ship,5,3,197,3,medium,F,2,4678,1,Courier_4
5116,B,Ship,3,2,207,3,medium,F,1,4369,0,Courier_1
5117,C,Ship,4,1,258,4,low,M,5,5664,0,Courier_5
5118,F,Ship,3,3,270,3,high,F,7,4690,1,Courier_2
5119,D,Ship,5,2,139,4,low,F,9,5070,1,Courier_4
5120,F,Ship,3,5,197,3,low,M,4,5423,0,Courier_2
5121,A,Ship,5,2,176,3,low,M,9,5656,0,Courier_1
5122,B,Ship,3,1,206,3,medium,M,5,5676,1,Courier_5
5123,C,Ship,4,5,176,4,medium,M,6,5061,0,Courier_1
5124,F,Ship,2,4,208,3,medium,F,6,4226,1,Courier_2
5125,D,Ship,3,3,154,2,medium,F,1,5746,1,Courier_5
5126,F,Ship,2,2,206,5,low,F,7,5203,0,Courier_5
5127,A,Ship,3,5,253,2,low,M,8,5476,1,Courier_1
5128,B,Ship,4,5,270,3,medium,F,2,5272,0,Courier_4
5129,C,Ship,3,3,271,4,high,M,3,4006,1,Courier_2
5130,F,Ship,2,1,108,3,low,M,4,5924,1,Courier_3
5131,D,Ship,4,5,172,2,medium,M,7,4559,0,Courier_3
5132,F,Ship,5,1,265,3,high,M,5,4951,1,Courier_1
5133,A,Ship,4,4,208,5,medium,F,7,5401,0,Courier_2
5134,B,Ship,4,5,261,3,high,M,3,4885,1,Courier_2
5135,C,Ship,4,4,197,2,medium,F,1,5211,0,Courier_1
5136,F,Ship,4,4,240,2,medium,F,4,5101,0,Courier_2
5137,D,Ship,4,1,273,4,low,M,1,4857,0,Courier_4
5138,F,Ship,3,5,180,2,medium,M,1,5940,1,Courier_1
5139,A,Ship,4,2,136,2,medium,F,7,4305,1,Courier_4
5140,B,Ship,3,4,222,6,medium,F,10,4579,1,Courier_2
5141,C,Ship,4,5,231,4,medium,M,9,5528,0,Courier_1
5142,F,Ship,4,5,240,5,low,M,8,4558,0,Courier_2
5143,D,Ship,4,1,152,3,low,M,10,5974,0,Courier_1
5144,F,Ship,5,2,206,2,medium,F,2,5627,1,Courier_2
5145,A,Ship,2,3,274,4,medium,F,10,4798,1,Courier_4
5146,B,Ship,5,4,97,6,high,M,7,5509,1,Courier_4
5147,C,Ship,3,4,243,4,medium,F,10,4076,0,Courier_2
5148,F,Ship,3,4,106,6,medium,F,7,4621,0,Courier_1
5149,D,Ship,5,3,241,3,low,F,2,5587,1,Courier_3
5150,F,Ship,3,1,217,4,medium,F,1,5761,1,Courier_4
5151,A,Ship,4,1,241,4,medium,M,5,5080,0,Courier_4
5152,B,Ship,4,3,213,3,low,M,6,5447,0,Courier_3
5153,C,Ship,3,1,134,3,medium,M,10,4200,0,Courier_2
5154,F,Ship,3,4,162,2,medium,F,8,4972,0,Courier_1
5155,D,Ship,2,4,193,4,low,M,7,5552,1,Courier_2
5156,F,Ship,4,3,138,2,medium,M,9,5297,1,Courier_5
5157,A,Ship,5,4,181,5,medium,M,2,5324,0,Courier_4
5158,B,Ship,4,2,274,2,low,M,10,4361,0,Courier_5
5159,C,Ship,4,3,254,2,high,F,3,4930,0,Courier_4
5160,F,Ship,5,2,196,5,low,M,10,5111,0,Courier_4
5161,D,Ship,4,2,157,4,low,F,6,4964,0,Courier_5
5162,F,Ship,4,3,130,3,medium,F,3,4317,0,Courier_5
5163,A,Ship,3,3,273,2,medium,F,7,5491,0,Courier_2
5164,B,Ship,4,5,154,3,medium,F,9,5489,1,Courier_5
5165,C,Ship,4,2,166,3,medium,F,8,4758,0,Courier_2
5166,F,Ship,5,5,171,3,low,M,8,4227,0,Courier_2
5167,D,Ship,5,4,177,2,low,M,2,5618,1,Courier_2
5168,F,Ship,2,5,195,3,low,M,3,5785,0,Courier_4
5169,A,Ship,5,4,269,2,low,F,9,5517,0,Courier_4
5170,B,Ship,4,1,196,3,low,M,4,4634,1,Courier_5
5171,C,Ship,3,1,244,3,high,M,7,5140,1,Courier_4
5172,F,Ship,3,3,137,3,medium,M,1,5490,1,Courier_5
5173,D,Ship,3,2,201,3,high,M,6,5165,1,Courier_4
5174,F,Ship,3,3,211,3,medium,M,7,5185,0,Courier_1
5175,A,Ship,5,3,266,3,medium,F,4,4195,0,Courier_1
5176,B,Ship,5,3,222,2,low,F,2,5953,1,Courier_5
5177,C,Ship,5,4,241,4,high,M,6,4412,1,Courier_4
5178,F,Ship,3,2,226,4,medium,F,8,5225,0,Courier_4
5179,D,Ship,3,5,254,3,medium,M,3,4072,0,Courier_2
5180,F,Road,4,5,222,3,medium,F,8,4950,0,Courier_3
5181,A,Road,4,4,148,3,medium,F,5,4892,0,Courier_5
5182,B,Road,4,3,194,3,medium,M,3,5916,1,Courier_3
5183,C,Road,4,1,177,2,high,F,7,5599,1,Courier_3
5184,F,Road,2,2,150,3,low,F,6,5854,1,Courier_5
5185,D,Road,3,2,111,2,low,F,4,4245,1,Courier_4
5186,F,Road,5,4,172,3,low,F,3,5064,1,Courier_5
5187,A,Road,4,5,234,3,low,M,3,5438,0,Courier_3
5188,B,Road,5,5,257,4,medium,M,10,5180,1,Courier_4
5189,C,Road,3,1,221,3,high,M,3,5005,1,Courier_1
5190,F,Road,5,1,171,5,medium,F,8,4699,0,Courier_5
5191,D,Road,4,4,231,2,low,F,4,5825,0,Courier_5
5192,F,Road,5,5,187,4,medium,F,9,5326,0,Courier_4
5193,A,Road,5,4,233,3,low,M,8,5076,1,Courier_1
5194,B,Road,4,4,268,6,medium,F,3,4834,0,Courier_1
5195,C,Road,4,2,262,3,low,F,9,4941,0,Courier_4
5196,F,Road,3,4,284,10,low,M,8,4562,1,Courier_2
5197,D,Road,3,3,259,3,medium,F,5,4664,0,Courier_5
5198,F,Road,3,1,221,10,medium,M,10,5473,0,Courier_5
5199,A,Road,5,5,271,4,high,F,6,4547,1,Courier_3
5200,B,Road,5,4,249,3,high,F,2,4397,1,Courier_4
5201,C,Road,5,5,259,3,medium,F,5,4315,0,Courier_3
5202,F,Flight,3,1,176,3,low,M,5,5316,1,Courier_3
5203,D,Flight,4,1,139,3,low,M,6,4942,1,Courier_1
5204,F,Flight,3,4,243,3,medium,F,8,4959,0,Courier_5
5205,A,Flight,5,2,248,3,medium,M,5,5946,0,Courier_3
5206,B,Flight,3,5,247,3,low,F,4,5891,1,Courier_1
5207,C,Flight,5,5,230,10,high,M,10,5619,1,Courier_4
5208,F,Flight,5,3,134,3,high,M,8,5016,0,Courier_3
5209,D,Flight,4,1,184,3,low,F,8,4667,0,Courier_5
5210,F,Flight,4,5,263,3,medium,F,6,5445,0,Courier_3
5211,A,Flight,5,4,121,5,high,F,4,4814,0,Courier_4
5212,B,Flight,3,2,160,3,medium,M,3,5807,0,Courier_3
5213,C,Flight,4,2,229,4,medium,M,3,5340,0,Courier_5
5214,F,Flight,7,3,306,4,medium,M,4,1739,1,Courier_1
5215,D,Flight,6,2,291,4,low,M,8,1019,0,Courier_5
5216,F,Flight,6,4,292,4,low,F,10,1321,1,Courier_1
5217,A,Flight,6,2,293,5,low,M,2,1494,0,Courier_2
5218,B,Flight,6,4,275,4,low,M,9,1585,0,Courier_5
5219,C,Flight,6,3,274,4,low,M,2,1833,1,Courier_5
5220,F,Flight,7,5,310,4,low,F,5,1975,0,Courier_4
5221,D,Flight,6,3,292,4,low,F,10,1270,0,Courier_3
5222,F,Flight,6,5,256,5,low,M,10,1686,0,Courier_1
5223,A,Flight,4,5,234,3,low,M,5,5213,0,Courier_1
5224,B,Ship,5,1,257,4,medium,M,1,4924,0,Courier_4
5225,C,Ship,3,1,221,3,high,M,1,4948,0,Courier_4
5226,F,Ship,5,1,171,5,medium,F,2,5921,1,Courier_3
5227,D,Ship,4,1,231,2,low,F,1,5917,1,Courier_3
5228,F,Ship,5,1,187,4,medium,F,8,5164,0,Courier_5
5229,A,Ship,5,1,233,3,low,M,10,5289,0,Courier_2
5230,B,Ship,4,2,268,6,medium,M,2,4348,0,Courier_3
5231,C,Ship,4,3,262,3,low,M,9,4404,1,Courier_4
5232,F,Ship,3,4,284,10,low,M,5,5479,0,Courier_3
5233,D,Ship,3,3,259,3,medium,F,4,4259,0,Courier_1
5234,F,Ship,3,5,221,10,medium,F,7,5743,1,Courier_2
5235,A,Ship,5,5,271,4,high,M,10,4305,1,Courier_5
5236,B,Ship,5,2,249,3,high,F,8,5000,1,Courier_1
5237,C,Ship,5,5,259,3,medium,F,1,4608,0,Courier_1
5238,F,Ship,3,1,176,3,low,F,7,4276,0,Courier_2
5239,D,Ship,4,1,139,3,low,F,1,5502,1,Courier_5
5240,F,Ship,3,1,243,3,medium,F,2,5827,1,Courier_4
5241,A,Ship,5,3,248,3,medium,M,10,5567,1,Courier_5
5242,B,Ship,3,4,247,3,low,M,6,4873,0,Courier_3
5243,C,Ship,5,5,230,10,high,F,3,5391,0,Courier_1
5244,F,Ship,5,5,134,3,high,F,5,5783,1,Courier_3
5245,D,Ship,4,2,184,3,low,M,10,4931,0,Courier_4
5246,F,Ship,4,4,263,3,medium,M,10,4680,0,Courier_3
5247,A,Ship,5,2,121,5,high,F,4,5833,0,Courier_5
5248,B,Ship,3,1,160,3,medium,F,4,5132,0,Courier_3
5249,C,Ship,4,1,229,4,medium,F,2,5378,1,Courier_4
5250,F,Ship,7,5,306,4,medium,F,2,1281,0,Courier_4
5251,D,Ship,6,2,291,4,low,F,7,1046,0,Courier_4
5252,F,Ship,6,4,292,4,low,M,9,1056,1,Courier_5
5253,A,Ship,6,5,293,5,low,F,1,1278,0,Courier_4
5254,B,Ship,6,4,275,4,low,M,10,1266,1,Courier_1
5255,C,Ship,6,3,274,4,low,M,10,1174,0,Courier_4
5256,F,Ship,7,2,310,4,low,M,4,1806,0,Courier_3
5257,D,Ship,6,5,292,4,low,F,10,1969,1,Courier_3
5258,F,Ship,6,1,275,4,low,F,5,1228,0,Courier_3
5259,A,Ship,7,3,310,4,medium,M,8,1860,1,Courier_5
5260,B,Ship,7,5,281,4,low,M,8,1987,1,Courier_3
5261,C,Ship,6,5,256,4,low,M,5,1033,1,Courier_5
5262,F,Ship,6,4,304,4,low,F,2,1749,0,Courier_5
5263,D,Ship,6,4,285,4,medium,M,6,1582,0,Courier_4
5264,F,Ship,7,4,283,5,low,M,6,1882,1,Courier_1
5265,A,Ship,6,1,304,4,low,F,4,1236,1,Courier_4
5266,B,Ship,6,3,282,4,medium,M,3,1661,0,Courier_4
5267,C,Ship,6,2,304,5,medium,M,6,1178,1,Courier_5
5268,F,Ship,6,2,301,5,medium,M,3,1844,1,Courier_5
5269,D,Ship,7,2,296,4,low,F,6,1005,1,Courier_3
5270,F,Ship,6,4,264,4,low,M,1,1660,1,Courier_3
5271,A,Ship,6,4,306,4,low,F,6,1461,0,Courier_4
5272,B,Ship,7,4,243,4,medium,F,6,1362,1,Courier_2
5273,C,Ship,6,2,286,4,low,M,9,1418,0,Courier_2
5274,F,Ship,6,2,247,4,medium,M,1,1668,0,Courier_3
5275,D,Ship,7,5,292,5,low,M,5,1932,1,Courier_2
5276,F,Ship,6,2,281,2,medium,F,9,1715,1,Courier_3
5277,A,Ship,6,5,294,4,low,M,4,1302,0,Courier_5
5278,B,Ship,5,1,279,4,low,F,3,1499,0,Courier_4
5279,C,Ship,6,4,298,4,medium,M,9,1629,0,Courier_1
5280,F,Ship,6,3,248,4,low,F,6,1997,1,Courier_4
5281,D,Ship,6,5,261,4,low,F,3,1217,1,Courier_3
5282,F,Ship,5,2,136,2,low,M,3,1370,0,Courier_3
5283,A,Ship,6,3,259,5,medium,F,1,1271,0,Courier_4
5284,B,Ship,6,4,292,4,medium,F,7,1094,1,Courier_3
5285,C,Ship,7,4,305,4,medium,F,6,1873,0,Courier_2
5286,F,Ship,6,2,304,4,low,F,9,1392,0,Courier_2
5287,D,Ship,3,5,218,2,low,M,4,5142,0,Courier_3
5288,F,Ship,4,1,268,3,medium,M,6,4681,1,Courier_3
5289,A,Ship,2,3,110,5,low,M,3,4124,0,Courier_2
5290,B,Ship,4,4,248,3,low,F,1,5198,0,Courier_3
5291,C,Ship,4,3,194,2,medium,M,4,5780,1,Courier_3
5292,F,Ship,5,4,151,2,low,F,10,5643,1,Courier_4
5293,D,Ship,3,2,205,2,low,M,6,4853,0,Courier_1
5294,F,Ship,2,1,275,2,low,F,5,4163,1,Courier_2
5295,A,Ship,5,3,229,2,medium,M,10,5149,0,Courier_4
5296,B,Ship,3,4,169,3,low,F,4,5716,0,Courier_1
5297,C,Ship,3,1,137,5,low,F,8,4980,1,Courier_3
5298,F,Ship,3,2,263,3,medium,F,3,4181,0,Courier_3
5299,D,Ship,5,4,187,3,low,F,1,4181,0,Courier_4
5300,F,Ship,4,3,287,4,low,M,6,5889,0,Courier_3
5301,A,Ship,4,4,134,2,medium,F,5,5230,0,Courier_5
5302,B,Ship,5,4,244,3,medium,F,3,4015,0,Courier_4
5303,C,Ship,4,3,229,2,medium,F,8,5868,0,Courier_1
5304,F,Ship,5,1,203,5,medium,M,2,4845,0,Courier_4
5305,D,Ship,4,5,183,2,medium,F,8,4422,0,Courier_2
5306,F,Ship,4,2,146,2,medium,M,4,4348,1,Courier_4
5307,A,Ship,4,4,252,3,medium,M,1,5676,1,Courier_3
5308,B,Ship,3,5,133,3,medium,M,7,4314,0,Courier_3
5309,C,Ship,3,3,207,3,low,M,7,4816,1,Courier_5
5310,F,Ship,3,4,243,3,medium,M,8,5705,1,Courier_5
5311,D,Ship,2,1,219,4,low,M,7,5573,1,Courier_5
5312,F,Ship,3,1,182,2,low,F,3,5510,1,Courier_1
5313,A,Ship,5,5,257,3,medium,F,5,5084,0,Courier_5
5314,B,Ship,4,2,256,4,medium,M,4,5469,0,Courier_1
5315,C,Ship,3,5,181,4,high,F,1,4971,1,Courier_5
5316,F,Ship,3,1,219,3,medium,M,6,4893,1,Courier_1
5317,D,Road,4,3,227,2,low,M,3,4375,0,Courier_4
5318,F,Road,3,5,232,2,high,F,8,5146,0,Courier_4
5319,A,Road,6,4,143,4,medium,M,4,4401,0,Courier_3
5320,B,Road,4,3,274,3,high,F,7,5517,0,Courier_1
5321,C,Road,4,4,186,3,low,F,2,4430,0,Courier_2
5322,F,Road,3,4,273,3,low,M,3,5163,1,Courier_3
5323,D,Road,3,3,199,3,low,M,7,5258,1,Courier_4
5324,F,Road,4,4,238,3,medium,F,5,4724,1,Courier_1
5325,A,Road,4,3,175,3,medium,F,4,5784,0,Courier_5
5326,B,Road,4,2,252,6,medium,M,2,5476,0,Courier_2
5327,C,Road,6,1,250,3,low,M,5,5621,1,Courier_4
5328,F,Road,3,2,254,2,medium,F,10,5608,0,Courier_3
5329,D,Road,2,4,201,2,high,M,2,5115,0,Courier_1
5330,F,Road,5,1,234,3,high,F,9,5548,0,Courier_2
5331,A,Road,4,2,164,4,low,M,2,5008,0,Courier_1
5332,B,Road,4,1,197,3,low,M,2,4326,0,Courier_5
5333,C,Road,4,3,158,4,medium,M,7,4460,0,Courier_3
5334,F,Road,3,2,158,3,medium,M,4,5335,0,Courier_1
5335,D,Road,5,3,111,4,medium,F,8,4575,0,Courier_4
5336,F,Road,5,3,215,3,low,F,2,4731,1,Courier_3
5337,A,Road,6,3,233,3,medium,F,9,4293,1,Courier_4
5338,B,Road,4,4,204,3,medium,M,8,5614,0,Courier_1
5339,C,Flight,2,5,254,2,low,M,10,5718,1,Courier_3
5340,F,Flight,5,1,162,3,medium,F,1,5537,0,Courier_4
5341,D,Flight,4,1,249,5,low,M,9,4396,0,Courier_5
5342,F,Flight,3,2,151,3,low,F,7,5154,1,Courier_5
5343,A,Flight,4,2,243,2,medium,F,6,4573,0,Courier_1
5344,B,Flight,4,2,181,3,low,M,4,5078,0,Courier_3
5345,C,Flight,4,3,241,2,medium,F,4,5942,1,Courier_2
5346,F,Flight,3,3,175,3,low,M,2,5740,1,Courier_3
5347,D,Flight,3,1,191,2,medium,F,10,5073,0,Courier_5
5348,F,Flight,4,5,260,3,high,M,10,4919,0,Courier_4
5349,A,Flight,4,1,263,4,low,M,9,4390,0,Courier_2
5350,B,Flight,4,1,254,2,low,M,10,4230,1,Courier_1
5351,C,Flight,5,5,103,6,medium,F,2,4860,0,Courier_2
5352,F,Flight,5,2,254,5,medium,F,2,5655,1,Courier_1
5353,D,Flight,5,4,235,2,medium,M,9,5549,0,Courier_2
5354,F,Flight,4,3,167,3,medium,F,1,4621,1,Courier_1
5355,A,Flight,4,5,140,5,medium,F,3,4191,1,Courier_1
5356,B,Flight,4,1,231,3,medium,M,2,4940,0,Courier_2
5357,C,Flight,2,4,144,4,low,F,8,5760,1,Courier_2
5358,F,Flight,4,5,183,2,medium,F,2,4533,1,Courier_1
5359,D,Flight,4,3,149,3,low,F,3,5542,0,Courier_5
5360,F,Flight,4,4,145,2,medium,M,8,5645,1,Courier_2
5361,A,Ship,3,3,223,3,medium,F,4,5062,1,Courier_3
5362,B,Ship,4,2,251,2,low,F,10,4898,1,Courier_4
5363,C,Ship,4,2,240,3,medium,M,9,5170,1,Courier_1
5364,F,Ship,4,5,226,5,low,F,5,4833,0,Courier_1
5365,D,Ship,4,1,200,2,low,M,5,5072,1,Courier_4
5366,F,Ship,3,4,213,3,high,F,4,5996,0,Courier_5
5367,A,Ship,3,4,166,2,low,F,10,5258,0,Courier_4
5368,B,Ship,5,2,203,6,medium,F,7,5289,0,Courier_2
5369,C,Ship,3,4,175,2,medium,M,9,5643,1,Courier_4
5370,F,Ship,4,2,197,3,low,F,6,5826,0,Courier_1
5371,D,Ship,4,1,158,3,medium,M,5,5782,0,Courier_4
5372,F,Ship,4,2,257,2,low,M,7,5325,1,Courier_3
5373,A,Ship,3,1,183,2,medium,F,3,4042,0,Courier_2
5374,B,Ship,3,3,254,2,medium,M,8,4890,1,Courier_4
5375,C,Ship,3,1,219,2,medium,F,10,4390,1,Courier_1
5376,F,Ship,3,5,271,4,low,M,3,5831,1,Courier_2
5377,D,Ship,4,4,236,2,medium,F,5,5266,0,Courier_1
5378,F,Ship,5,1,170,4,high,M,6,5258,1,Courier_5
5379,A,Ship,5,4,203,2,high,F,2,4190,1,Courier_3
5380,B,Ship,3,5,258,3,low,M,5,4314,1,Courier_5
5381,C,Ship,4,5,228,2,low,F,4,4783,1,Courier_3
5382,F,Ship,6,3,251,5,medium,M,8,4877,0,Courier_4
5383,D,Ship,3,3,166,2,medium,M,4,4254,1,Courier_2
5384,F,Ship,3,5,147,3,low,F,4,5042,0,Courier_4
5385,A,Ship,5,4,248,4,medium,F,5,4271,1,Courier_3
5386,B,Ship,3,2,238,4,low,F,7,5254,0,Courier_3
5387,C,Ship,4,4,219,2,medium,M,7,4604,0,Courier_3
5388,F,Ship,5,2,226,3,medium,M,6,4700,1,Courier_1
5389,D,Ship,3,3,211,4,low,M,7,4733,0,Courier_2
5390,F,Ship,5,4,139,3,medium,F,6,5721,0,Courier_4
5391,A,Ship,4,2,137,2,medium,F,2,5804,1,Courier_4
5392,B,Ship,4,4,222,2,medium,M,7,4343,0,Courier_5
5393,C,Ship,2,3,257,2,low,F,1,5331,1,Courier_3
5394,F,Ship,5,1,186,4,medium,M,5,5239,0,Courier_3
5395,D,Ship,4,2,262,3,low,M,4,5085,0,Courier_3
5396,F,Ship,4,3,248,3,low,M,5,4781,1,Courier_4
5397,A,Ship,5,3,245,3,medium,F,5,5663,0,Courier_5
5398,B,Ship,5,3,202,4,low,M,6,5107,0,Courier_1
5399,C,Ship,4,3,279,6,medium,M,2,5405,0,Courier_2
5400,F,Ship,5,1,263,3,medium,M,6,4505,1,Courier_1
5401,D,Ship,3,5,227,4,low,F,9,4647,0,Courier_4
5402,F,Ship,5,3,245,4,high,M,8,4129,1,Courier_3
5403,A,Ship,4,5,142,2,medium,F,7,4594,1,Courier_2
5404,B,Ship,5,3,192,3,medium,F,6,4037,1,Courier_4
5405,C,Ship,4,3,190,4,medium,M,4,4102,1,Courier_4
5406,F,Ship,2,2,146,4,low,M,4,5817,0,Courier_4
5407,D,Ship,4,3,161,2,medium,M,3,4391,1,Courier_2
5408,F,Ship,3,3,192,3,low,F,1,4180,1,Courier_2
5409,A,Ship,3,1,267,3,low,M,5,5528,0,Courier_5
5410,B,Ship,5,5,186,4,medium,F,9,5592,1,Courier_5
5411,C,Ship,4,2,149,5,medium,F,8,4209,0,Courier_1
5412,F,Ship,4,4,246,3,low,M,2,5473,1,Courier_2
5413,D,Ship,3,2,177,4,low,F,3,5527,0,Courier_2
5414,F,Ship,4,5,199,2,low,F,8,4463,0,Courier_2
5415,A,Ship,5,2,247,3,medium,F,3,4698,1,Courier_5
5416,B,Ship,4,5,157,3,medium,F,2,4343,1,Courier_4
5417,C,Ship,3,1,202,3,medium,F,9,4322,0,Courier_3
5418,F,Ship,4,2,150,3,low,M,6,5787,1,Courier_5
5419,D,Ship,5,5,209,2,low,F,3,4348,0,Courier_2
5420,F,Ship,5,3,223,3,low,M,6,5977,0,Courier_5
5421,A,Ship,3,3,234,3,low,F,8,4839,1,Courier_1
5422,B,Ship,6,1,147,3,medium,F,5,4012,0,Courier_2
5423,C,Ship,6,5,201,5,medium,M,3,5771,0,Courier_1
5424,F,Ship,5,3,134,2,low,M,10,5279,1,Courier_2
5425,D,Ship,4,1,229,4,low,F,3,4352,1,Courier_5
5426,F,Ship,4,4,200,4,low,F,3,5583,1,Courier_4
5427,A,Ship,4,4,239,3,low,M,4,4756,0,Courier_3
5428,B,Ship,5,4,237,6,medium,M,2,4541,0,Courier_1
5429,C,Ship,5,2,121,5,medium,F,10,4790,0,Courier_5
5430,F,Ship,3,4,156,3,medium,M,6,5255,1,Courier_4
5431,D,Ship,5,3,195,4,low,F,9,5577,0,Courier_5
5432,F,Ship,4,4,261,3,high,M,9,5515,0,Courier_1
5433,A,Ship,2,1,255,2,medium,M,9,5936,1,Courier_3
5434,B,Ship,3,5,212,4,low,F,9,5791,0,Courier_5
5435,C,Ship,4,4,241,3,low,F,8,5206,1,Courier_2
5436,F,Ship,4,5,266,3,medium,F,4,5928,1,Courier_4
5437,D,Ship,4,5,253,2,low,M,8,5652,0,Courier_5
5438,F,Ship,4,3,192,3,medium,F,10,5190,0,Courier_4
5439,A,Ship,4,4,263,4,medium,M,7,4041,1,Courier_2
5440,B,Ship,4,5,198,6,medium,F,6,5380,0,Courier_3
5441,C,Ship,3,1,225,2,high,M,6,5274,1,Courier_3
5442,F,Ship,3,1,209,2,medium,F,3,4184,0,Courier_2
5443,D,Ship,3,4,222,3,medium,M,3,4068,0,Courier_4
5444,F,Ship,3,1,162,3,medium,F,7,5971,0,Courier_5
5445,A,Ship,5,1,217,2,medium,M,6,5518,0,Courier_2
5446,B,Ship,3,5,252,4,low,F,7,5328,1,Courier_1
5447,C,Ship,4,1,236,3,low,F,4,4248,0,Courier_4
5448,F,Ship,4,4,113,3,medium,F,1,5610,1,Courier_3
5449,D,Ship,6,4,157,6,low,F,9,5354,1,Courier_2
5450,F,Ship,5,3,169,4,low,F,4,5683,0,Courier_3
5451,A,Ship,5,3,268,3,medium,F,9,4152,1,Courier_4
5452,B,Ship,4,4,259,7,medium,M,7,4408,0,Courier_3
